Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
cutmix_r_test,density,ptv1,density_inc,2,0.8824959481361426,0.8479825581395349
cutmix_r_test,density,ptv1,density_inc,3,0.8804700162074555,0.8405174418604651
cutmix_r_test,density,ptv1,density_inc,4,0.8768233387358185,0.8414360465116278
cutmix_r_test,density,ptv1,density_inc,5,0.8675040518638574,0.8314011627906976
cutmix_r_test,transform,ptv1,distortion,1,0.7641815235008104,0.6884709302325581
cutmix_r_test,transform,ptv1,distortion,2,0.770259319286872,0.6971744186046511
cutmix_r_test,transform,ptv1,distortion,3,0.763776337115073,0.7016220930232558
cutmix_r_test,transform,ptv1,distortion,4,0.7350081037277147,0.6734651162790698
cutmix_r_test,transform,ptv1,distortion,5,0.6973257698541329,0.6404709302325582
cutmix_r_test,transform,ptv1,distortion_rbf,1,0.7617504051863857,0.6956744186046511
cutmix_r_test,transform,ptv1,distortion_rbf,2,0.7686385737439222,0.69675
cutmix_r_test,transform,ptv1,distortion_rbf,3,0.7706645056726094,0.7019127906976743
cutmix_r_test,transform,ptv1,distortion_rbf,4,0.747163695299838,0.6825523255813953
cutmix_r_test,transform,ptv1,distortion_rbf,5,0.7370340356564019,0.676046511627907
cutmix_r_test,transform,ptv1,distortion_rbf_inv,1,0.7589141004862237,0.6889651162790698
cutmix_r_test,transform,ptv1,distortion_rbf_inv,2,0.7698541329011345,0.6959651162790698
cutmix_r_test,transform,ptv1,distortion_rbf_inv,3,0.7581037277147488,0.6869534883720929
cutmix_r_test,transform,ptv1,distortion_rbf_inv,4,0.7722852512155591,0.7122906976744187
cutmix_r_test,transform,ptv1,distortion_rbf_inv,5,0.7414910858995137,0.6898430232558139
cutmix_r_test,noise,ptv1,gaussian,1,0.8861426256077796,0.8516395348837209
cutmix_r_test,noise,ptv1,gaussian,2,0.8857374392220422,0.846593023255814
cutmix_r_test,noise,ptv1,gaussian,3,0.8808752025931929,0.8355523255813952
cutmix_r_test,noise,ptv1,gaussian,4,0.8804700162074555,0.8300465116279069
cutmix_r_test,noise,ptv1,gaussian,5,0.869935170178282,0.8141453488372093
